name;description;price;categories;quantity;images;source_url;color;material
Carrier 45 Gear Tote;Carrier 45 Gear Tote;720;Accessories/Men,Accessories/Women;2;https://images.arcteryx.com/details/1350x1710/F25-X000007449-Carrier-45-Gear-Tote-Bliss-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000007449-Carrier-45-Gear-Tote-Bliss-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/carrier-45-gear-tote-7449;White;
Carrier 75 Duffle;Carrier 75 Duffle;1200;Accessories/Men,Accessories/Women;9;https://images.arcteryx.com/details/1350x1710/S25-X000007474-Carrier-75-Duffle-Canvas-Back.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000007474-Carrier-75-Duffle-Canvas-Back.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/carrier-75-duffle-7474;White;
Chunky Ribbed Toque;Chunky Ribbed Toque;280;Accessories/Men,Accessories/Women;1;https://images.arcteryx.com/details/1350x1710/F25-X000010085-Chunky-Ribbed-Toque-Solitude-Heather-Arc-Silk-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010085-Chunky-Ribbed-Toque-Solitude-Heather-Arc-Silk-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/chunky-ribbed-toque-0085;;Merino
Colour Block Toque;Colour Block Toque;220;Accessories/Men,Accessories/Women;6;https://images.arcteryx.com/details/1350x1710/F25-X000009931-Color-Block-Toque-Blk-Sapphire-Vitality-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009931-Color-Block-Toque-Blk-Sapphire-Vitality-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/color-block-toque-9931;Red;Polyester
Conveyor Belt 38;Conveyor Belt 38;200;Accessories/Men,Accessories/Women;2;https://images.arcteryx.com/details/1350x1710/S25-X000005521-Conveyor-Belt-38mm-Black-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000005521-Conveyor-Belt-38mm-Black-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/conveyor-belt-38;Black;
Embroidered Bird Toque;Embroidered Bird Toque;180;Accessories/Men,Accessories/Women;9;https://images.arcteryx.com/details/1350x1710/F25-X000010066-Embroidered-Bird-Toque-Copper-Sky-Blaze-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010066-Embroidered-Bird-Toque-Copper-Sky-Blaze-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/embroidered-bird-toque-0066;Red;Polyester
Fission SV Glove;Fission SV Glove;800;Accessories/Men,Accessories/Women;8;https://images.arcteryx.com/details/1350x1710/F25-X000009939-Fission-SV-Glove-Forage-Canvas-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009939-Fission-SV-Glove-Forage-Canvas-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/fission-sv-glove-9939;;
Fission SV Mitten;Fission SV Mitten;800;Accessories/Men,Accessories/Women;9;https://images.arcteryx.com/details/1350x1710/F25-X000009940-Fission-SV-Mitten-Copper-Sky-Canvas-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009940-Fission-SV-Mitten-Copper-Sky-Canvas-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/fission-sv-mitten-9940;Red;Down
Gamma 5 Panel Cap;Gamma 5 Panel Cap;200;Accessories/Men,Accessories/Women;3;https://images.arcteryx.com/details/1350x1710/F25-X000009484-Gamma-5-Panel-Cap-Rune-Black-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009484-Gamma-5-Panel-Cap-Rune-Black-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/gamma-5-panel-cap-9484;Black;
Gothic Glove;Gothic Glove;160;Accessories/Men,Accessories/Women;0;https://images.arcteryx.com/details/1350x1710/F25-X000006539-Gothic-Glove-Dk-Aster-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000006539-Gothic-Glove-Dk-Aster-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/gothic-glove;;Merino
Granville 16 Backpack;Granville 16 Backpack;800;Accessories/Men,Accessories/Women;5;https://images.arcteryx.com/details/1350x1710/F25-X000009624-Granville-16-Backpack-Mars-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009624-Granville-16-Backpack-Mars-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/granville-16-backpack-9624;;Nylon
Granville 25 Backpack;Granville 25 Backpack;920;Accessories/Men,Accessories/Women;3;https://images.arcteryx.com/details/1350x1710/F25-X000009625-Granville-25-Backpack-Nightscape-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009625-Granville-25-Backpack-Nightscape-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/granville-25-backpack-9625;Red;Nylon
Granville 30 Carryall Bag;Granville 30 Carryall Bag;640;Accessories/Men,Accessories/Women;3;https://images.arcteryx.com/details/1350x1710/F25-X000009626-Granville-30-Carryall-Bag-Bliss-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009626-Granville-30-Carryall-Bag-Bliss-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/granville-30-carryall-bag-9626;Red;
Granville Crossbody Bag;Granville Crossbody Bag;400;Accessories/Men,Accessories/Women;0;https://images.arcteryx.com/details/1350x1710/F25-X000009622-Granville-Crossbody-Bag-Mars-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009622-Granville-Crossbody-Bag-Mars-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/granville-crossbody-bag-9622;Red;Nylon
Grotto Headband;Grotto Headband;160;Accessories/Men,Accessories/Women;9;https://images.arcteryx.com/details/1350x1710/F25-X000007428-Grotto-Headband-Solitude-Void-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000007428-Grotto-Headband-Solitude-Void-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/grotto-headband;Red;Polyester
Grotto Rib Toque;Grotto Rib Toque;260;Accessories/Men,Accessories/Women;5;https://images.arcteryx.com/details/1350x1710/F25-X000009932-Grotto-Rib-Toque-Arctic-Silk-Solitude-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009932-Grotto-Rib-Toque-Arctic-Silk-Solitude-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/grotto-rib-toque-9932;Red;Polyester
Grotto Toque;Grotto Toque;240;Accessories/Men,Accessories/Women;6;https://images.arcteryx.com/details/1350x1710/F25-X000010067-Grotto-Toque-Black-Void-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010067-Grotto-Toque-Black-Void-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/grotto-toque-0067;Black;Polyester
Heliad 15 Backpack;Heliad 15 Backpack;320;Accessories/Men,Accessories/Women;3;https://images.arcteryx.com/details/1350x1710/F25-X000009829-Heliad-15-Backpack-Arctic-Silk-Aster-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009829-Heliad-15-Backpack-Arctic-Silk-Aster-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/heliad-15-backpack-9829;Red;
Heliad Belt 38;Heliad Belt 38;180;Accessories/Men,Accessories/Women;8;https://images.arcteryx.com/details/1350x1710/F25-X000009654-Heliad-Belt-38-Black-Mars-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009654-Heliad-Belt-38-Black-Mars-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/heliad-belt-38-9654;Black;
